,Age,Income,Location,Sex,Year,count,cumulative_percent,percentage
218,55 to 64 years,225-250k,"Halifax, Nova Scotia",Males,2016.0,165.0,0.9812674372259865,0.00657632522917497
219,55 to 64 years,>250k,"Halifax, Nova Scotia",Males,2016.0,470.0,1.0,0.018732562774013552
220,65 years and over,$0-<25k,"Halifax, Nova Scotia",Males,2016.0,7320.0,0.2641645615301335,0.2641645615301335
221,65 years and over,$25-<50k,"Halifax, Nova Scotia",Males,2016.0,9880.0,0.6207145434861061,0.3565499819559726
222,65 years and over,$50-<75k,"Halifax, Nova Scotia",Males,2016.0,6200.0,0.8444604835799351,0.22374594009382895
223,65 years and over,$75-<100k,"Halifax, Nova Scotia",Males,2016.0,2170.0,0.9227715626127753,0.07831107903284013
224,65 years and over,$100-<125k,"Halifax, Nova Scotia",Males,2016.0,645.0,0.9460483579935043,0.02327679538072898
225,65 years and over,$125-<150k,"Halifax, Nova Scotia",Males,2016.0,645.0,0.9693251533742333,0.02327679538072898
226,65 years and over,$150-<175k,"Halifax, Nova Scotia",Males,2016.0,220.0,0.9772645254420789,0.007939372067845544
227,65 years and over,$175-<200k,"Halifax, Nova Scotia",Males,2016.0,220.0,0.9852038975099244,0.007939372067845544
228,65 years and over,$200-225k,"Halifax, Nova Scotia",Males,2016.0,70.0,0.9877300613496934,0.0025261638397690365
229,65 years and over,225-250k,"Halifax, Nova Scotia",Males,2016.0,70.0,0.9902562251894624,0.0025261638397690365
230,65 years and over,>250k,"Halifax, Nova Scotia",Males,2016.0,270.0,1.0000000000000002,0.009743774810537712
231,All age groups,$0-<25k,"Halifax, Nova Scotia",Females,2016.0,64980.0,0.4048850395663281,0.4048850395663281
232,All age groups,$25-<50k,"Halifax, Nova Scotia",Females,2016.0,51420.0,0.7252788335721851,0.32039379400585705
233,All age groups,$50-<75k,"Halifax, Nova Scotia",Females,2016.0,24930.0,0.8806156146800423,0.15533678110785717
234,All age groups,$75-<100k,"Halifax, Nova Scotia",Females,2016.0,11860.0,0.9545142999563836,0.0738986852763412
235,All age groups,$100-<125k,"Halifax, Nova Scotia",Females,2016.0,2630.0,0.9709016138077139,0.016387313851330302
